From Date,To Date,PM10,NO2,SO2,Ozone,CO
25-12-2025 00:00,26-12-2025 00:00,87.2,25.02,17.76,None,1.42
26-12-2025 00:00,27-12-2025 00:00,76.77,25.53,17.73,None,1.42
27-12-2025 00:00,28-12-2025 00:00,77.35,25.41,17.76,None,1.41
28-12-2025 00:00,29-12-2025 00:00,79.56,25.31,17.7,None,1.4
29-12-2025 00:00,30-12-2025 00:00,79.61,25.24,17.74,None,1.43
30-12-2025 00:00,31-12-2025 00:00,90.66,25.85,17.77,None,1.41
31-12-2025 00:00,01-01-2026 00:00,95.49,26.29,17.74,None,1.46
01-01-2026 00:00,02-01-2026 00:00,94.36,26.88,17.75,None,1.51
02-01-2026 00:00,03-01-2026 00:00,91.31,26.35,17.76,None,1.5
03-01-2026 00:00,04-01-2026 00:00,91.39,26,17.73,None,1.5
04-01-2026 00:00,05-01-2026 00:00,None,None,None,None,None
05-01-2026 00:00,06-01-2026 00:00,91.29,25.5,17.79,None,1.51
06-01-2026 00:00,07-01-2026 00:00,91.35,25.76,17.77,None,1.52
07-01-2026 00:00,08-01-2026 00:00,91.27,25.56,17.78,None,1.53
08-01-2026 00:00,09-01-2026 00:00,91.22,25.14,17.71,None,1.49
09-01-2026 00:00,10-01-2026 00:00,91.15,25.29,17.76,None,1.51
10-01-2026 00:00,11-01-2026 00:00,91.06,25.74,17.77,None,1.52
11-01-2026 00:00,12-01-2026 00:00,91.2,25.73,17.75,None,1.51
12-01-2026 00:00,13-01-2026 00:00,91.29,26.04,17.74,None,1.5
13-01-2026 00:00,14-01-2026 00:00,91.1,26.67,17.75,None,1.5
14-01-2026 00:00,15-01-2026 00:00,91.16,27.05,17.74,None,1.5
15-01-2026 00:00,16-01-2026 00:00,91.43,26.64,17.7,None,1.51
16-01-2026 00:00,17-01-2026 00:00,None,None,None,None,None
17-01-2026 00:00,18-01-2026 00:00,91.17,26.51,17.78,None,1.53
18-01-2026 00:00,19-01-2026 00:00,91.23,26.87,17.74,None,1.5
19-01-2026 00:00,20-01-2026 00:00,91.11,26.69,17.71,None,1.52
20-01-2026 00:00,21-01-2026 00:00,91.37,27.36,17.73,None,1.48
21-01-2026 00:00,22-01-2026 00:00,95.37,26.13,17.77,None,1.49
22-01-2026 00:00,23-01-2026 00:00,98.47,26.32,17.74,None,1.51
23-01-2026 00:00,24-01-2026 00:00,98.55,26.63,17.74,None,1.52
24-01-2026 00:00,25-01-2026 00:00,98.44,26.96,17.74,None,1.49
25-01-2026 00:00,26-01-2026 00:00,98.62,27.65,17.76,None,1.51
26-01-2026 00:00,27-01-2026 00:00,98.6,27.48,17.74,None,1.5
27-01-2026 00:00,28-01-2026 00:00,98.58,28.07,17.8,None,1.51
28-01-2026 00:00,29-01-2026 00:00,93.77,28.08,17.77,None,1.52
29-01-2026 00:00,30-01-2026 00:00,87.85,27.93,17.73,None,1.5
30-01-2026 00:00,31-01-2026 00:00,88.01,27.88,17.76,None,1.52
31-01-2026 00:00,01-02-2026 00:00,88.1,27.69,17.77,None,1.52
01-02-2026 00:00,02-02-2026 00:00,88.06,27.86,17.75,None,1.51
02-02-2026 00:00,03-02-2026 00:00,90.12,28.19,17.74,None,1.5
03-02-2026 00:00,04-02-2026 00:00,92.9,27.81,17.77,None,1.53
04-02-2026 00:00,05-02-2026 00:00,90.6,27.57,15.43,None,1.51
05-02-2026 00:00,06-02-2026 00:00,90.62,27.73,12.67,None,1.52
06-02-2026 00:00,07-02-2026 00:00,94.59,28.03,12.65,None,1.5
07-02-2026 00:00,08-02-2026 00:00,94.61,28.27,12.7,None,1.51
08-02-2026 00:00,09-02-2026 00:00,94.69,27.86,12.65,None,1.5
09-02-2026 00:00,10-02-2026 00:00,99.88,27.53,14.65,None,1.5
10-02-2026 00:00,11-02-2026 00:00,101.57,28.01,15.29,None,1.52
11-02-2026 00:00,12-02-2026 00:00,101.68,27.03,15.3,None,1.52
12-02-2026 00:00,13-02-2026 00:00,101.67,27.2,15.3,None,1.5
13-02-2026 00:00,14-02-2026 00:00,101.78,28.2,15.28,None,1.49
14-02-2026 00:00,15-02-2026 00:00,101.75,28.31,15.28,None,1.49
15-02-2026 00:00,16-02-2026 00:00,101.65,28.26,15.34,None,1.53
16-02-2026 00:00,17-02-2026 00:00,101.62,28.17,15.26,None,1.48
17-02-2026 00:00,17-02-2026 00:00,101.79,29.59,12.78,None,1.32
