From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,207.96,327.35,70.21,12.16,2.13,4.17
02-01-2025 00:00,03-01-2025 00:00,208.17,319.46,67.96,7.86,2.16,4.55
03-01-2025 00:00,04-01-2025 00:00,470.81,675.09,117.78,23.07,3.04,5.39
04-01-2025 00:00,05-01-2025 00:00,358.85,454.33,82.99,12.07,2.78,7.14
05-01-2025 00:00,06-01-2025 00:00,190.02,269.27,54.28,9.62,1.73,5.16
06-01-2025 00:00,07-01-2025 00:00,226.06,325.59,68.1,10.17,2.3,4.01
07-01-2025 00:00,08-01-2025 00:00,211.79,336.69,69.54,19.46,1.74,4.03
08-01-2025 00:00,09-01-2025 00:00,205.46,375.4,79.28,17.23,2.37,7.32
09-01-2025 00:00,10-01-2025 00:00,436.83,636.49,69.75,25.48,4.57,7.48
10-01-2025 00:00,11-01-2025 00:00,353.12,467.82,49.26,31.18,3.14,6.84
11-01-2025 00:00,12-01-2025 00:00,207.29,262.53,52.71,9.59,1.85,3.86
12-01-2025 00:00,13-01-2025 00:00,204.3,274.62,54.85,8.59,2.42,3.84
13-01-2025 00:00,14-01-2025 00:00,183.11,297.05,60.9,71.85,2.06,3.07
14-01-2025 00:00,15-01-2025 00:00,256.15,388.28,59.76,167.86,2.64,3.33
15-01-2025 00:00,16-01-2025 00:00,417.56,540.67,52.63,28.19,4.74,9.03
16-01-2025 00:00,17-01-2025 00:00,267.42,346.21,55.85,16.01,3.67,7.61
17-01-2025 00:00,18-01-2025 00:00,207.21,297.6,47.93,20.47,3.18,4.36
18-01-2025 00:00,19-01-2025 00:00,199.73,329.37,46.76,15.05,2.71,7.01
19-01-2025 00:00,20-01-2025 00:00,308.28,506.62,73.78,11.33,4.23,7.72
20-01-2025 00:00,21-01-2025 00:00,202.96,350.04,89.81,63.93,3.18,4.84
21-01-2025 00:00,22-01-2025 00:00,165.15,305.78,100.43,9.35,2.12,6.19
22-01-2025 00:00,23-01-2025 00:00,151.02,331.37,80.32,11.25,2.2,5.93
23-01-2025 00:00,24-01-2025 00:00,140.54,250.42,78.05,7.32,2.03,5.48
24-01-2025 00:00,25-01-2025 00:00,105.78,220.55,87.74,12.16,1.31,7.1
25-01-2025 00:00,26-01-2025 00:00,104.53,270.31,80.29,16.06,1.46,7.43
26-01-2025 00:00,27-01-2025 00:00,193.3,428,136.49,10.18,2.91,4.45
27-01-2025 00:00,28-01-2025 00:00,163.89,366.38,115.43,7.12,2.46,5.73
28-01-2025 00:00,29-01-2025 00:00,168.43,384.07,131.44,9.83,2.79,7.42
29-01-2025 00:00,30-01-2025 00:00,264.51,434.27,123.84,15.71,2.69,9.18
30-01-2025 00:00,31-01-2025 00:00,201.45,327.71,102.65,24.63,2.21,6.36
31-01-2025 00:00,01-02-2025 00:00,294.96,475.28,93.86,19.86,3.36,10.57
01-02-2025 00:00,02-02-2025 00:00,357.27,537.13,106.93,12.91,3.15,7.14
02-02-2025 00:00,03-02-2025 00:00,198.22,302.93,70.34,8.38,1.87,4.37
