From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,119.89,225.22,5.95,22,0.84,27.84
02-01-2025 00:00,03-01-2025 00:00,None,None,None,None,None,27.19
03-01-2025 00:00,04-01-2025 00:00,221.84,636.1,6.73,19.88,1.38,18.69
04-01-2025 00:00,05-01-2025 00:00,167.89,240.65,4.04,20.34,1,29.17
05-01-2025 00:00,06-01-2025 00:00,96.1,235.84,71.09,23.11,1.38,21.38
06-01-2025 00:00,07-01-2025 00:00,113.22,210.28,73.96,24.23,1.21,23.13
07-01-2025 00:00,08-01-2025 00:00,111.78,339.53,52.34,17.67,1.04,22.66
08-01-2025 00:00,09-01-2025 00:00,97.58,296.49,45.13,12.15,1.08,22.88
09-01-2025 00:00,10-01-2025 00:00,199.73,408.18,28.75,12.44,1.3,22.85
10-01-2025 00:00,11-01-2025 00:00,178.46,290.73,46.47,12.6,1.04,22
11-01-2025 00:00,12-01-2025 00:00,None,161.8,None,None,None,16.69
12-01-2025 00:00,13-01-2025 00:00,None,None,None,None,None,14.27
13-01-2025 00:00,14-01-2025 00:00,94.75,181.84,64.47,14.26,1.53,27.58
14-01-2025 00:00,15-01-2025 00:00,113.19,224.29,77.93,18.2,1.52,22.97
15-01-2025 00:00,16-01-2025 00:00,213.39,402.03,52.25,17.94,1.33,21.33
16-01-2025 00:00,17-01-2025 00:00,103.92,210.84,69.9,22.02,1.61,18.01
17-01-2025 00:00,18-01-2025 00:00,98.4,174.39,64.93,19.22,1.12,18.06
18-01-2025 00:00,19-01-2025 00:00,127.57,192.75,20.05,16.39,1.34,18.27
19-01-2025 00:00,20-01-2025 00:00,187.97,270.52,55.52,15.82,1.18,18.13
20-01-2025 00:00,21-01-2025 00:00,124.71,188.3,64.11,17.09,1.16,18.19
21-01-2025 00:00,22-01-2025 00:00,79.77,172.21,80.61,15.63,1.33,18.07
22-01-2025 00:00,23-01-2025 00:00,97.37,167.8,65.17,14.08,1.5,17.81
23-01-2025 00:00,24-01-2025 00:00,103.06,170.08,47.97,17.36,1.15,17.85
