From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,75.2,135.67,16.36,9.95,1.13,14.16
02-01-2025 00:00,03-01-2025 00:00,73.44,132.79,16.74,6.2,0.79,14.38
03-01-2025 00:00,04-01-2025 00:00,79,141.53,21.07,5.79,1.03,13.87
04-01-2025 00:00,05-01-2025 00:00,107.46,188.41,18.58,5.89,1.21,14.26
05-01-2025 00:00,06-01-2025 00:00,93.33,165.33,29.95,5.8,1.1,14.15
06-01-2025 00:00,07-01-2025 00:00,89.57,159.19,24.77,6.12,0.9,14.36
07-01-2025 00:00,08-01-2025 00:00,84.19,150.41,None,5.48,1.22,14.18
08-01-2025 00:00,09-01-2025 00:00,64.73,152.39,18.83,4.88,0.43,13.68
09-01-2025 00:00,10-01-2025 00:00,42.6,147.25,24.01,5.62,0.67,14.8
10-01-2025 00:00,11-01-2025 00:00,43.38,143.76,26.08,5.66,1.53,15.76
11-01-2025 00:00,12-01-2025 00:00,None,None,None,None,None,None
12-01-2025 00:00,13-01-2025 00:00,None,None,None,None,None,None
13-01-2025 00:00,14-01-2025 00:00,None,None,None,None,None,None
14-01-2025 00:00,15-01-2025 00:00,None,None,None,None,None,None
15-01-2025 00:00,16-01-2025 00:00,None,None,None,None,None,None
16-01-2025 00:00,17-01-2025 00:00,None,None,None,None,None,None
17-01-2025 00:00,18-01-2025 00:00,None,None,None,None,None,None
18-01-2025 00:00,19-01-2025 00:00,None,None,None,None,None,None
19-01-2025 00:00,20-01-2025 00:00,None,None,None,None,None,None
20-01-2025 00:00,21-01-2025 00:00,None,None,None,None,None,None
21-01-2025 00:00,22-01-2025 00:00,None,None,None,None,None,None
22-01-2025 00:00,23-01-2025 00:00,None,None,None,None,None,None
23-01-2025 00:00,24-01-2025 00:00,None,None,None,None,None,None
24-01-2025 00:00,25-01-2025 00:00,None,None,None,None,None,None
25-01-2025 00:00,26-01-2025 00:00,None,None,None,None,None,None
26-01-2025 00:00,27-01-2025 00:00,None,None,None,None,None,None
27-01-2025 00:00,28-01-2025 00:00,None,None,None,None,None,None
28-01-2025 00:00,29-01-2025 00:00,None,None,None,None,None,None
29-01-2025 00:00,30-01-2025 00:00,None,None,None,None,None,None
30-01-2025 00:00,31-01-2025 00:00,None,None,None,None,None,None
31-01-2025 00:00,01-02-2025 00:00,15.1,73.14,48.05,21.07,2,14.74
01-02-2025 00:00,02-02-2025 00:00,12.04,84.39,49.76,49.52,2.01,14.28
02-02-2025 00:00,03-02-2025 00:00,14.97,105.25,45.05,14.41,2.02,16.39
03-02-2025 00:00,04-02-2025 00:00,14.69,111.03,27.55,15.27,2.02,15.01
04-02-2025 00:00,05-02-2025 00:00,17.47,128.98,24.27,16.39,2.03,16.09
05-02-2025 00:00,06-02-2025 00:00,31.47,178.95,27.05,27.3,2.02,18.51
06-02-2025 00:00,07-02-2025 00:00,33.94,252.21,None,21.21,2.02,17.45
07-02-2025 00:00,08-02-2025 00:00,31.02,207.79,8.6,20.92,2.02,15.52
08-02-2025 00:00,09-02-2025 00:00,27.39,212.88,8.6,16.82,2.02,14.94
09-02-2025 00:00,10-02-2025 00:00,26.31,170.66,8.58,14.83,2.01,16.61
10-02-2025 00:00,11-02-2025 00:00,27.32,181.24,8.59,11.01,2.02,23.2
11-02-2025 00:00,12-02-2025 00:00,21.94,163.73,8.57,11.17,2.01,21.24
12-02-2025 00:00,13-02-2025 00:00,18.08,167.66,10.06,19.44,2.01,16.12
13-02-2025 00:00,14-02-2025 00:00,14.78,152.32,12.59,14.28,2.02,19.34
14-02-2025 00:00,15-02-2025 00:00,10.62,124.1,12.6,12.79,2.02,15.79
15-02-2025 00:00,16-02-2025 00:00,21.19,103.87,13.77,11.27,2.02,15.89
16-02-2025 00:00,17-02-2025 00:00,37.21,63.36,None,15.58,2.03,18.07
17-02-2025 00:00,18-02-2025 00:00,45.62,75.37,11.65,11.23,2,15.64
18-02-2025 00:00,19-02-2025 00:00,51.61,88.24,15.7,12.01,2.02,15.52
19-02-2025 00:00,20-02-2025 00:00,45.63,84.24,25.76,13.29,1.94,21.5
20-02-2025 00:00,21-02-2025 00:00,None,None,None,None,None,None
21-02-2025 00:00,22-02-2025 00:00,None,None,None,None,None,None
22-02-2025 00:00,23-02-2025 00:00,None,None,None,None,None,None
23-02-2025 00:00,24-02-2025 00:00,None,None,None,None,None,None
24-02-2025 00:00,25-02-2025 00:00,None,None,None,None,None,None
25-02-2025 00:00,26-02-2025 00:00,None,None,None,None,None,None
26-02-2025 00:00,27-02-2025 00:00,None,None,None,None,None,None
27-02-2025 00:00,28-02-2025 00:00,26.51,60.74,28.18,13.52,1.24,43.89
28-02-2025 00:00,01-03-2025 00:00,28.12,59.94,29.5,16.58,1.43,45.02
01-03-2025 00:00,02-03-2025 00:00,19.79,46.35,24.58,12.27,1.57,42.62
02-03-2025 00:00,03-03-2025 00:00,22.99,44.26,23.56,14.16,1.3,22.81
03-03-2025 00:00,04-03-2025 00:00,20.34,52.83,24.68,13.65,1.05,23.18
04-03-2025 00:00,05-03-2025 00:00,13.59,66.16,21.92,9.51,1.94,22.54
05-03-2025 00:00,06-03-2025 00:00,15.57,61.53,24.71,11.42,1.61,23.11
06-03-2025 00:00,07-03-2025 00:00,30.52,87.3,25.78,11.29,1.74,24.87
07-03-2025 00:00,08-03-2025 00:00,41.23,149.32,26.69,16.54,1.26,25.31
08-03-2025 00:00,09-03-2025 00:00,30.56,95.47,23.59,12.65,1.54,25.28
09-03-2025 00:00,10-03-2025 00:00,22.41,82.8,27.16,12.43,1.68,23.18
10-03-2025 00:00,11-03-2025 00:00,23.95,63.42,26.32,15.64,1.34,22.98
11-03-2025 00:00,12-03-2025 00:00,18.25,51.64,88.39,13.85,1.39,22.95
12-03-2025 00:00,13-03-2025 00:00,14.1,46.77,108.3,13.05,1.8,22.17
13-03-2025 00:00,14-03-2025 00:00,13.13,46.41,21.09,12.18,1.54,22.73
14-03-2025 00:00,15-03-2025 00:00,13.92,47.23,12.57,12.43,1.67,22.5
15-03-2025 00:00,16-03-2025 00:00,13.15,50.94,13.61,12.17,0.22,21.92
16-03-2025 00:00,17-03-2025 00:00,12.6,54.28,10.95,10.63,1.51,22.34
17-03-2025 00:00,18-03-2025 00:00,11.43,42.97,9.94,12.21,1.2,21.72
18-03-2025 00:00,19-03-2025 00:00,12.3,44.58,9.6,11.97,0.41,22.03
19-03-2025 00:00,20-03-2025 00:00,18.51,50.8,9.07,11.23,0.66,22.16
20-03-2025 00:00,21-03-2025 00:00,18.28,54.41,7.77,11.73,1.47,22.04
21-03-2025 00:00,22-03-2025 00:00,19.78,51.13,8.12,12.5,1.58,21.98
22-03-2025 00:00,23-03-2025 00:00,15.94,54.3,8.53,11.65,1.51,22.55
23-03-2025 00:00,24-03-2025 00:00,17.41,49.01,7.5,8.94,1.85,22.1
24-03-2025 00:00,25-03-2025 00:00,20.47,63.34,6.63,21.59,1.44,22.31
25-03-2025 00:00,26-03-2025 00:00,28.17,67.1,6.2,14.73,1.6,22.98
26-03-2025 00:00,27-03-2025 00:00,32.71,75.95,6.58,11.11,1.05,23.19
27-03-2025 00:00,28-03-2025 00:00,25.82,76.99,6.83,13.62,1.72,23.42
28-03-2025 00:00,29-03-2025 00:00,31.92,93.26,9.01,11.7,2,22.5
29-03-2025 00:00,30-03-2025 00:00,34.95,82.42,7.96,12.49,1.69,24.42
30-03-2025 00:00,31-03-2025 00:00,24.8,70.49,7.13,12.16,1.48,22.88
31-03-2025 00:00,01-04-2025 00:00,30.26,84.64,6.26,12.86,1.32,23.2
01-04-2025 00:00,02-04-2025 00:00,32.74,92.11,5.91,13.26,1.39,22.64
02-04-2025 00:00,03-04-2025 00:00,25.99,77.16,7.53,12.87,1.53,21.93
03-04-2025 00:00,04-04-2025 00:00,15.55,44.83,13.62,15.19,1.21,21.34
04-04-2025 00:00,05-04-2025 00:00,16.63,50.62,12.6,24.85,0.22,21.94
05-04-2025 00:00,06-04-2025 00:00,14.45,49.53,12.56,9,0.22,22.07
06-04-2025 00:00,07-04-2025 00:00,12.69,51.26,11.78,11.05,2.18,22.36
07-04-2025 00:00,08-04-2025 00:00,14.75,46.88,12.89,12.64,1.79,22.51
08-04-2025 00:00,09-04-2025 00:00,18.32,49.98,11.98,13.11,1.5,21.74
09-04-2025 00:00,10-04-2025 00:00,11.39,49.29,11.5,17.67,0.22,21.54
10-04-2025 00:00,11-04-2025 00:00,21.71,61.47,13.75,9.92,1.71,24.27
11-04-2025 00:00,12-04-2025 00:00,23.1,51.47,13.68,11.33,1.84,23.24
12-04-2025 00:00,13-04-2025 00:00,31.62,64.71,14.5,12.2,1.77,23.62
13-04-2025 00:00,14-04-2025 00:00,27.52,63.58,13.15,13.04,1.76,22.23
14-04-2025 00:00,15-04-2025 00:00,22.61,66.79,11.81,11.84,1.79,22.11
15-04-2025 00:00,16-04-2025 00:00,17.97,52.86,12.67,12.09,1.03,21.81
16-04-2025 00:00,17-04-2025 00:00,24.01,45.34,11.52,12.25,0.79,22.66
17-04-2025 00:00,18-04-2025 00:00,30.01,44.65,10.26,10.1,4.74,22.43
18-04-2025 00:00,19-04-2025 00:00,29.45,45.04,12.36,11.16,2.03,22.44
19-04-2025 00:00,20-04-2025 00:00,42.35,32.68,12.09,12.14,2.01,22.49
20-04-2025 00:00,21-04-2025 00:00,None,31.35,11.97,10.04,1.45,22.1
21-04-2025 00:00,22-04-2025 00:00,35.02,56.86,14.78,7.64,1.98,22.99
22-04-2025 00:00,23-04-2025 00:00,37.84,51.67,14.24,9.12,1.75,21.5
23-04-2025 00:00,24-04-2025 00:00,31.46,54.5,14.81,10.06,0.76,23.39
24-04-2025 00:00,25-04-2025 00:00,32.24,52.44,14.62,11.53,0.62,22.49
25-04-2025 00:00,26-04-2025 00:00,33.9,40.76,13.12,11.52,0.66,23.82
26-04-2025 00:00,27-04-2025 00:00,33.97,53.7,14.23,11.72,0.6,21.29
27-04-2025 00:00,28-04-2025 00:00,20.65,41.36,13.06,11.48,0.77,21.31
28-04-2025 00:00,29-04-2025 00:00,16.45,44.96,12.94,11.77,0.93,21.76
29-04-2025 00:00,30-04-2025 00:00,21.44,43.07,13.03,12.11,0.56,21.86
30-04-2025 00:00,01-05-2025 00:00,27.11,49.7,14.25,12.03,0.62,22.84
01-05-2025 00:00,02-05-2025 00:00,29.05,51.66,12.91,10.77,0.63,22.38
02-05-2025 00:00,03-05-2025 00:00,28.57,50.3,13.5,11.26,0.61,22.16
03-05-2025 00:00,04-05-2025 00:00,34.46,58.17,14.6,11.83,0.6,23.57
04-05-2025 00:00,05-05-2025 00:00,31.63,55.87,14.25,12.28,0.54,23.17
05-05-2025 00:00,06-05-2025 00:00,31.73,50.81,14.41,11.34,0.74,23.57
06-05-2025 00:00,07-05-2025 00:00,32.94,54.88,14.55,20.81,0.76,22.94
07-05-2025 00:00,08-05-2025 00:00,33.02,49.07,14.41,9.76,0.73,24.49
08-05-2025 00:00,09-05-2025 00:00,44.78,65.85,14.58,12.87,0.69,24.25
09-05-2025 00:00,10-05-2025 00:00,49.11,71.76,14.99,11.98,0.59,25.17
10-05-2025 00:00,11-05-2025 00:00,45.76,67.46,14.4,11.81,0.52,22.85
11-05-2025 00:00,12-05-2025 00:00,45.79,67.09,14.43,10.03,0.64,22.16
12-05-2025 00:00,13-05-2025 00:00,51.65,67.64,15.52,9.63,0.84,24.79
13-05-2025 00:00,14-05-2025 00:00,50.12,77.37,16.26,10.69,0.92,26.4
14-05-2025 00:00,15-05-2025 00:00,50.13,77.94,15.16,10.98,0.63,24.9
15-05-2025 00:00,16-05-2025 00:00,None,None,None,None,None,None
16-05-2025 00:00,17-05-2025 00:00,None,None,None,None,None,None
17-05-2025 00:00,18-05-2025 00:00,46.82,64.6,14.68,9.63,0.72,22.56
18-05-2025 00:00,19-05-2025 00:00,43.86,55.42,17.8,17.2,0.3,23.02
19-05-2025 00:00,20-05-2025 00:00,24.33,36.68,21.46,9.82,0.25,None
20-05-2025 00:00,21-05-2025 00:00,None,None,None,None,None,None
21-05-2025 00:00,22-05-2025 00:00,None,None,None,None,None,None
22-05-2025 00:00,23-05-2025 00:00,36.52,52.36,12.3,13.54,0.52,55.56
23-05-2025 00:00,24-05-2025 00:00,36.59,52.4,12.31,13.58,0.52,55.62
24-05-2025 00:00,25-05-2025 00:00,36.62,52.41,12.3,13.57,0.52,55.64
25-05-2025 00:00,26-05-2025 00:00,36.54,52.36,12.32,13.57,0.52,55.55
26-05-2025 00:00,27-05-2025 00:00,36.46,52.32,12.3,13.57,0.52,55.45
27-05-2025 00:00,28-05-2025 00:00,36.52,52.35,12.3,13.58,0.52,55.52
28-05-2025 00:00,29-05-2025 00:00,36.66,52.43,12.3,13.58,0.52,55.69
29-05-2025 00:00,30-05-2025 00:00,36.53,52.36,12.3,13.6,0.52,55.54
30-05-2025 00:00,31-05-2025 00:00,36.53,52.36,12.3,13.58,0.52,55.54
31-05-2025 00:00,01-06-2025 00:00,36.61,52.41,12.29,13.54,0.52,55.63
01-06-2025 00:00,02-06-2025 00:00,36.61,52.41,12.28,13.58,0.52,55.64
02-06-2025 00:00,03-06-2025 00:00,36.57,52.38,12.27,13.56,0.52,55.58
03-06-2025 00:00,04-06-2025 00:00,31.64,64.67,13.86,11.44,0.61,43.87
04-06-2025 00:00,05-06-2025 00:00,12.03,54.09,16.46,11.01,0.41,23.59
05-06-2025 00:00,06-06-2025 00:00,17.73,72.43,16.7,12.97,0.56,22.61
06-06-2025 00:00,07-06-2025 00:00,20.81,127.86,17.53,10.54,0.56,25.06
07-06-2025 00:00,08-06-2025 00:00,18.82,90.86,17.33,13.13,0.5,24.03
08-06-2025 00:00,09-06-2025 00:00,16.99,None,17.32,11.6,0.74,85.22
09-06-2025 00:00,10-06-2025 00:00,14.25,89.09,16.69,12.75,0.63,27.44
10-06-2025 00:00,11-06-2025 00:00,13.33,31.73,17.24,14.01,0.66,27.59
11-06-2025 00:00,12-06-2025 00:00,15.22,36.99,17.15,10.91,0.5,59.38
12-06-2025 00:00,13-06-2025 00:00,16.88,40.19,18.03,17.85,0.64,55.65
13-06-2025 00:00,14-06-2025 00:00,25.51,55.07,17.39,17.59,0.91,55.79
14-06-2025 00:00,15-06-2025 00:00,10.25,22.34,17.29,14.65,0.71,55.64
15-06-2025 00:00,16-06-2025 00:00,7.13,13.15,17.36,19.07,0.62,55.57
16-06-2025 00:00,17-06-2025 00:00,8.71,17.15,17.55,24.15,0.55,55.47
17-06-2025 00:00,18-06-2025 00:00,13.93,35.51,13.64,13.2,0.46,46.2
18-06-2025 00:00,19-06-2025 00:00,12.73,27.6,6.63,13.57,0.68,29.05
19-06-2025 00:00,20-06-2025 00:00,15.81,31.8,3.13,13.57,0.8,29.77
20-06-2025 00:00,21-06-2025 00:00,12.69,28.5,2.68,13.56,0.49,29.08
21-06-2025 00:00,22-06-2025 00:00,13.15,27.12,2.33,13.61,0.54,29.49
22-06-2025 00:00,23-06-2025 00:00,13.06,27.7,1.65,13.58,0.55,28.5
