StationId,StationName,City,State,Status,Latitude,Longitude
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive,28.6138954,77.2090057
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,Active,28.6138954,77.2090057
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,Active,28.6138954,77.2090057
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,Active,23.0215374,72.5800568
GJ002,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,,21.6293206,72.9945103
GJ003,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,,23.2232877,72.6492267
GJ004,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,,22.4178037,73.0949186
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,,20.3735482,72.9084376
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,,22.9589978,72.6297981
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,Active,30.3843674,76.770421
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,Active,28.6933239,76.9332373
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,Active,28.2940728,77.3592238
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,Active,28.7931703,76.1391283
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,Active,28.2055216,76.7953099
HR006,"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,Active,28.4031478,77.3105561
HR007,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,Active,28.4031478,77.3105561
HR008,"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,Active,28.4031478,77.3105561
HR009,"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,Active,28.4031478,77.3105561
HR010,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,Active,29.5359209,75.5752901
HR011,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,Active,28.4646148,77.0299194
HR012,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,Active,28.4646148,77.0299194
HR013,"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,Active,28.4646148,77.0299194
HR014,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,Active,28.4646148,77.0299194
HR015,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,Active,29.2396596,75.8174505
HR016,"Police Lines, Jind - HSPCB",Jind,Haryana,Active,29.3152073,76.314082
HR017,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,Active,29.7996588,76.3989903
HR018,"Sector-12, Karnal - HSPCB",Karnal,Haryana,Active,29.7255766,76.9106924
HR019,"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,Active,29.9693747,76.8482787
HR020,"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,Active,27.897075,76.9922014
HR021,"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,Active,28.3247096,76.9263787
HR022,"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,Active,28.0438456,76.1062015
HR023,"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,Active,28.0599426,77.3223422
HR024,"Sector-6, Panchkula - HSPCB",Panchkula,Haryana,Active,30.6975401,76.8551066
HR025,"Sector-18, Panipat - HSPCB",Panipat,Haryana,Active,29.3912753,76.9771675
HR026,"MD University, Rohtak - HSPCB",Rohtak,Haryana,Active,28.9010899,76.5801935
HR027,"F-Block, Sirsa - HSPCB",Sirsa,Haryana,Active,29.6063041,74.9036568
HR028,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,Active,28.9953758,77.0233627
HR029,"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,Active,8.5502244,76.987407
JH001,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,Active,23.7167069,86.4110166
KA001,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,,16.1793224,75.6999315
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA010,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.9767936,77.590082
KA012,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,,11.9544201,77.1069086
KA013,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,,13.0993764,77.388729
KA014,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,,13.4058699,75.638758
KA015,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,,15.3518378,75.1379848
KA016,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,,17.2408957,76.7697439
KA017,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,,12.3051828,76.6553609
KA018,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,,12.720006,77.3184199
KA019,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,,16.814415,75.8933856
KA020,"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,,16.5744123,76.9254434
KL001,"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,,10.0669964,76.2989276
KL002,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,,10.0383947,76.5074145
KL003,"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,,11.8763836,75.3737973
KL004,"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,,9.9679032,76.2444378
KL005,"Polayathode, Kollam - Kerala PCB",Kollam,Kerala,,8.8870533,76.5906696
KL006,"Palayam, Kozhikode - Kerala PCB",Kozhikode,Kerala,,11.2450558,75.7754716
KL007,"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,Active,8.4882267,76.947551
KL008,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,Active,8.4882267,76.947551
MP001,"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,Active,23.2584857,77.401989
MP002,"Shrivastav Colony, Damoh - MPPCB",Damoh,Madhya Pradesh,,23.7981005,79.5419356
MP003,"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,,22.8057498,76.2940408
MP004,"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,,26.2037247,78.1573628
MP005,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,Madhya Pradesh,,26.2037247,78.1573628
MP006,"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,,22.7203616,75.8681996
MP007,"Marhatal, Jabalpur - MPPCB",Jabalpur,Madhya Pradesh,,23.1701522,79.9324505
MP008,"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,,23.7176393,80.2610181
MP009,"Sahilara, Maihar - KJS Cements",Maihar,Madhya Pradesh,,24.2437541,81.0446912
MP010,"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,,23.093838,77.5114296
MP011,"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,Madhya Pradesh,,22.6105576,75.6790283
MP012,"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,Madhya Pradesh,,23.5022201,74.9551534
MP013,"Deen Dayal Nagar, Sagar - MPPCB",Sagar,Madhya Pradesh,,23.8083076,78.758254
MP014,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,,24.6954445,80.7770348
MP015,"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,Madhya Pradesh,,24.2431343,82.3827672
MP016,"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,Madhya Pradesh,,23.1885131,75.7716562
MH001,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,Maharashtra,,19.877263,75.3390241
MH002,"Chandrapur, Chandrapur - MPCB",Chandrapur,Maharashtra,,20.0967555,79.5045475
MH003,"MIDC Khutala, Chandrapur - MPCB",Chandrapur,Maharashtra,,20.0967555,79.5045475
MH004,"Khadakpada, Kalyan - MPCB",Kalyan,Maharashtra,,19.2396742,73.1366482
MH005,"Bandra, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH006,"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH008,"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH009,"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH010,"Powai, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH011,"Sion, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH012,"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH013,"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.054999,72.8692035
MH015,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,,21.1498134,79.0820556
MH016,"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,,20.0112475,73.7902364
MH017,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.0308262,73.0198537
MH018,"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.0308262,73.0198537
MH019,"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.0308262,73.0198537
MH020,"Karve Road, Pune - MPCB",Pune,Maharashtra,,18.5213738,73.8545071
MH021,"Solapur, Solapur - MPCB",Solapur,Maharashtra,,,
MH022,"Pimpleshwar Mandir, Thane - MPCB",Thane,Maharashtra,,,
ML001,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,Active,,
MZ001,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,Active,,
OD001,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,Active,21.8498594,83.9254698
OD002,"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,Active,20.9322302,85.2005822
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,Active,31.6356659,74.8787496
PB002,"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,,30.1794814,75.0471098
PB003,"Civil Line, Jalandhar - PPCB",Jalandhar,Punjab,,31.2922312,75.5678878
PB004,"Kalal Majra, Khanna - PPCB",Khanna,Punjab,,30.700625,76.2220763
PB005,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,Punjab,,30.9090157,75.851601
PB006,"RIMT University, Mandi Gobindgarh - PPCB",Gobindgarh,Punjab,,30.8613538,75.9461613
PB007,"Model Town, Patiala - PPCB",Patiala,Punjab,,30.2092778,76.3397231
PB008,"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,Punjab,,31.0917102,76.5289701
RJ001,"Moti Doongri, Alwar - RSPCB",Alwar,Rajasthan,,27.4140049,76.6170387
RJ002,"Civil Lines, Ajmer - RSPCB",Ajmer,Rajasthan,,26.4691,74.639
RJ003,"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwandi,Rajasthan,,19.3025562,73.0588072
RJ004,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9154576,75.8189817
RJ005,"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9154576,75.8189817
RJ006,"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9154576,75.8189817
RJ007,"Collectorate, Jodhpur - RSPCB",Jodhpur,Rajasthan,,26.2967719,73.0351433
RJ008,"Shrinath Puram, Kota - RSPCB",Kota,Rajasthan,,25.1737019,75.8574194
RJ009,"Indira Colony Vistar, Pali - RSPCB",Pali,Rajasthan,,25.4552211,73.419389
RJ010,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,,24.578721,73.6862571
TN001,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0836939,80.270186
TN002,"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,Active,13.0836939,80.270186
TN003,"Manali, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0836939,80.270186
TN004,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0836939,80.270186
TN005,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,Active,11.0018115,76.9628425
TG001,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
TG003,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
TG004,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
TG005,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
TG006,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.360589,78.4740613
UP001,"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,,27.1752554,78.0098161
UP002,"New Collectorate, Baghpat - UPPCB",Baghpat,Uttar Pradesh,,29.0374779,77.3062737
UP003,"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr,Uttar Pradesh,,28.3874073,77.9743805
UP004,"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,,28.7749966,77.4586967
UP005,"Loni, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,,28.7749966,77.4586967
UP006,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,,28.7749966,77.4586967
UP007,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,,28.7749966,77.4586967
UP008,"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,,28.4670734,77.5137649
UP009,"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,,28.4670734,77.5137649
UP010,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,,28.7166767,77.890433
UP011,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,,26.4609135,80.3217588
UP012,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8381,80.9346001
UP013,"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,Active,26.8381,80.9346001
UP014,"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8381,80.9346001
UP015,"Nishant Ganj, Lucknow - UPPCB",Lucknow,Uttar Pradesh,Inactive,26.8381,80.9346001
UP016,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8381,80.9346001
UP017,"Ganga Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,,29.0018557,77.7679671
UP018,"Jai Bhim Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,,29.0018557,77.7679671
UP019,"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,Uttar Pradesh,,29.0018557,77.7679671
UP020,"Lajpat Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,,28.8796553,78.8095335
UP021,"New Mandi, Muzaffarnagar - UPPCB",Muzzaffarnagar,Uttar Pradesh,,,
UP022,"Sector - 125, Noida - UPPCB",Noida,Uttar Pradesh,,28.5706333,77.3272147
UP023,"Sector - 62, Noida - IMD",Noida,Uttar Pradesh,,28.5706333,77.3272147
UP024,"Sector-1, Noida - UPPCB",Noida,Uttar Pradesh,,28.5706333,77.3272147
UP025,"Sector-116, Noida - UPPCB",Noida,Uttar Pradesh,,28.5706333,77.3272147
UP026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,,25.3356491,83.0076292
WB001,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,,23.6871297,86.9746587
WB002,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,West Bengal,,23.5350475,87.3380425
WB003,"Haldia, Haldia - WBPCB",Haldia,West Bengal,,22.028124,88.0632655
WB004,"Belur Math, Howrah - WBPCB",Howrah,West Bengal,,22.5736296,88.3251045
WB005,"Ghusuri, Howrah - WBPCB",Howrah,West Bengal,,22.5736296,88.3251045
WB006,"Padmapukur, Howrah - WBPCB",Howrah,West Bengal,,22.5736296,88.3251045
WB007,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB008,"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB009,"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB010,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB011,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB012,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB013,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726459,88.3638953
WB014,"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,West Bengal,,26.7164127,88.4309916
