id,state,city,timestamp,pm25,pm10,no2,co,so2,o3,temperature,humidity,windSpeed,windDirection,latitude,longitude,distRoad,distIndustry,distDump,distFarmland,pollutionSource
"pol-0","Andhra Pradesh","Visakhapatnam","2026-02-25T12:10:25.354Z","162.53466314893853","256.1587012380634","46.305413027592465","9.754473268405485","41.316089360179525","85.76481334379358","30.054111628575754","28.041026833663885","22.0671867231268","295.67083999656114","14.714562649609677","88.38082433482386","386.01479129088113","7917.814804269391","7124.6141320082515","6380.348146436138","Vehicular"
"pol-1","Arunachal Pradesh","Itanagar","2026-02-25T11:10:25.354Z","190.22247600606346","87.1363057618226","23.263253698523705","3.9234535788231515","1.0278635603569064","70.22866667389287","24.45486259261036","43.17731649316784","16.2136096978791","311.05430592742374","21.145688266171575","85.02452254714632","1027.720700684768","3755.33044174419","11117.094290302333","7179.834071504718","Natural"
"pol-2","Assam","Guwahati","2026-02-25T10:10:25.354Z","51.761469589532716","215.44576824499075","59.829724054305856","7.549828022144433","9.172614271375117","26.221642390162092","23.07255427938839","37.2377364406616","15.753033087247864","143.24476486678444","35.44781007314246","90.77481046108348","1493.540482046891","2618.0125077342896","16640.62549266588","5863.006170309623","Natural"
"pol-3","Bihar","Patna","2026-02-25T09:10:25.354Z","104.3010367464658","15.360480492078466","13.655873098245381","7.415509667578","10.558633970167342","49.39068582202284","27.628022613430105","61.50457793925699","2.0140080840708148","120.36865810811364","31.445213138348944","85.298444114701","1237.1258014625678","9378.658518538372","15334.51718824262","966.3524685860403","Natural"
"pol-4","Chhattisgarh","Raipur","2026-02-25T08:10:25.354Z","8.600312320681326","67.68258663082143","62.21156670414098","2.442974817381315","28.89848885870342","85.80879614454537","33.40509729803923","71.83438688284139","12.900303526484727","63.341181547799444","11.80971356085122","72.50920057434425","283.7503058914224","1446.1306511667772","4580.581859421708","2198.7132545788777","Vehicular"
"pol-5","Goa","Panaji","2026-02-25T07:10:25.354Z","194.26726838708902","255.17890214726108","46.88641781187237","3.1822914947976635","46.49223505009875","29.45733299545369","32.136492828168535","65.10457938434406","19.275536535599233","150.99731860599402","17.0132826180491","88.79438350994603","1870.9477008540978","7321.988776844608","18121.093324620706","6518.723393647141","Natural"
"pol-6","Gujarat","Ahmedabad","2026-02-25T06:10:25.354Z","54.057667423119995","247.5127762321707","32.11750860230545","1.0812861151888242","8.138108312528198","53.83895876378948","19.708929299124783","48.5466480396515","13.01456321744428","225.17983479611442","28.82604740108048","69.08577026510275","17.3576364605601","4955.696425251362","12339.875406516807","3733.7604141740076","Vehicular"
"pol-7","Haryana","Gurugram","2026-02-25T05:10:25.354Z","165.80528431432398","218.34887937352394","5.343529469996922","1.9099620455829414","39.45330144501958","32.78662847219251","31.160280875952633","25.691911366765574","7.791081292184854","204.7642252357147","8.15460217284092","81.3861961687671","38.27798109241654","430.0994394220914","17551.70922199142","529.6555564483185","Industrial"
"pol-8","Himachal Pradesh","Shimla","2026-02-25T04:10:25.354Z","61.16573249590302","182.168577519859","22.5555319704181","9.070830589163776","2.2751146189880336","11.017071488966646","16.695779905588076","41.09682678553351","23.366703565986526","77.62275840080552","15.501549678490663","89.55452186937963","1526.4039405176457","9350.786177821929","13054.712821378673","2802.4511785390737","Agricultural"
"pol-9","Jharkhand","Ranchi","2026-02-25T03:10:25.354Z","196.0079853718307","148.67099666995847","20.82323309661681","0.9910859989469856","33.40542976972901","35.602835307707906","25.000773897449776","57.07444113564524","21.5717869243368","68.1568967517492","35.21055007638769","75.84861928022721","217.9474185087822","7643.849587045588","10382.9386377032","6702.29917307117","Natural"
"pol-10","Karnataka","Bengaluru","2026-02-25T02:10:25.354Z","160.72077957158194","291.93576055669763","15.855226792742556","7.295153719994777","46.97348828161986","68.43785669553418","19.573528151244304","53.38295624023567","18.308179501025517","5.36835421780772","19.044772914816818","72.26326527071338","775.8904328635856","6200.789842024573","4103.033588379756","3369.749488584435","Burning"
"pol-11","Kerala","Thiruvananthapuram","2026-02-25T01:10:25.354Z","45.092380330462476","192.81257680363552","46.026404224153495","1.4222456952957585","12.874888367255883","23.659258204468813","20.336800404597508","20.837763405638093","24.476873615026953","353.0142422819378","16.307609282502906","82.36921398214716","388.80323939905657","5347.9599683497245","1279.7837816302238","6283.772175022132","Vehicular"
