station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,01-01-2025 00:00,02-01-2025 00:00,44.2,96.41,,3.78,,32.14
AHEMEDABAD,02-01-2025 00:00,03-01-2025 00:00,43.66,94.39,,3.68,,37.45
AHEMEDABAD,03-01-2025 00:00,04-01-2025 00:00,53.37,110.38,,4.16,4.57,23.52
AHEMEDABAD,04-01-2025 00:00,05-01-2025 00:00,61.36,126.44,,6.6,0.84,68.58
AHEMEDABAD,05-01-2025 00:00,06-01-2025 00:00,52.36,112.09,,5.88,0.0,73.54
AHEMEDABAD,06-01-2025 00:00,07-01-2025 00:00,52.05,112.73,,6.41,0.29,66.42
AHEMEDABAD,07-01-2025 00:00,08-01-2025 00:00,44.83,95.09,41.73,27.2,0.74,48.28
AHEMEDABAD,08-01-2025 00:00,09-01-2025 00:00,44.66,94.51,44.08,13.79,0.51,53.03
AHEMEDABAD,09-01-2025 00:00,10-01-2025 00:00,43.83,92.94,42.34,15.94,0.35,52.86
AHEMEDABAD,10-01-2025 00:00,11-01-2025 00:00,49.54,103.94,40.59,22.1,0.72,52.07
AHEMEDABAD,11-01-2025 00:00,12-01-2025 00:00,73.78,152.76,40.52,26.81,0.52,47.6
AHEMEDABAD,12-01-2025 00:00,13-01-2025 00:00,43.23,92.87,38.88,30.24,0.01,44.72
AHEMEDABAD,13-01-2025 00:00,14-01-2025 00:00,35.73,76.89,38.06,14.47,0.0,51.52
AHEMEDABAD,14-01-2025 00:00,15-01-2025 00:00,30.04,67.56,37.46,13.95,,52.24
AHEMEDABAD,15-01-2025 00:00,16-01-2025 00:00,38.61,83.41,37.34,30.01,,51.14
AHEMEDABAD,16-01-2025 00:00,17-01-2025 00:00,42.87,91.86,38.01,21.25,,46.15
AHEMEDABAD,17-01-2025 00:00,18-01-2025 00:00,38.7,86.99,39.76,21.99,,47.22
AHEMEDABAD,18-01-2025 00:00,19-01-2025 00:00,47.29,100.65,38.15,19.78,,15.92
AHEMEDABAD,19-01-2025 00:00,20-01-2025 00:00,66.83,140.87,38.91,20.81,,18.39
AHEMEDABAD,20-01-2025 00:00,21-01-2025 00:00,74.51,153.5,41.92,14.33,,7.71
AHEMEDABAD,21-01-2025 00:00,22-01-2025 00:00,59.46,122.06,38.41,13.72,,
AHEMEDABAD,22-01-2025 00:00,23-01-2025 00:00,52.91,110.64,,11.87,,
AHEMEDABAD,23-01-2025 00:00,24-01-2025 00:00,45.89,95.88,,11.05,,27.7
AHEMEDABAD,24-01-2025 00:00,25-01-2025 00:00,40.42,90.07,,26.88,,36.12
AHEMEDABAD,25-01-2025 00:00,26-01-2025 00:00,34.69,74.8,,54.65,,31.84
AHEMEDABAD,26-01-2025 00:00,27-01-2025 00:00,41.82,88.1,,46.31,,36.31
AHEMEDABAD,27-01-2025 00:00,28-01-2025 00:00,43.39,88.97,,36.94,,35.62
AHEMEDABAD,28-01-2025 00:00,29-01-2025 00:00,52.08,107.91,,29.33,,41.93
AHEMEDABAD,29-01-2025 00:00,30-01-2025 00:00,83.47,165.46,,28.19,,50.33
AHEMEDABAD,30-01-2025 00:00,31-01-2025 00:00,40.21,81.48,,17.6,,38.79
AHEMEDABAD,31-01-2025 00:00,01-02-2025 00:00,54.67,108.36,,22.79,,37.3
AHEMEDABAD,01-02-2025 00:00,02-02-2025 00:00,51.57,97.53,,17.32,,34.53
AHEMEDABAD,02-02-2025 00:00,03-02-2025 00:00,63.45,123.11,,10.71,,26.7
AHEMEDABAD,03-02-2025 00:00,04-02-2025 00:00,63.11,124.86,,20.7,,48.32
AHEMEDABAD,04-02-2025 00:00,05-02-2025 00:00,56.95,117.81,,17.02,,45.17
AHEMEDABAD,05-02-2025 00:00,06-02-2025 00:00,,,,13.86,,39.15
AHEMEDABAD,06-02-2025 00:00,07-02-2025 00:00,,,,44.25,,43.59
AHEMEDABAD,07-02-2025 00:00,08-02-2025 00:00,,,,40.86,,43.32
AHEMEDABAD,08-02-2025 00:00,09-02-2025 00:00,,,,,,
AHEMEDABAD,09-02-2025 00:00,10-02-2025 00:00,,,,,,
AHEMEDABAD,10-02-2025 00:00,11-02-2025 00:00,88.28,179.04,,,,23.23
AHEMEDABAD,11-02-2025 00:00,12-02-2025 00:00,52.27,103.87,,12.28,,27.24
AHEMEDABAD,12-02-2025 00:00,13-02-2025 00:00,49.54,98.68,,9.34,,26.88
AHEMEDABAD,13-02-2025 00:00,14-02-2025 00:00,54.26,107.94,,11.92,,37.27
AHEMEDABAD,14-02-2025 00:00,15-02-2025 00:00,74.68,145.91,,18.16,,36.56
AHEMEDABAD,15-02-2025 00:00,16-02-2025 00:00,62.07,119.46,,40.94,,31.25
AHEMEDABAD,16-02-2025 00:00,17-02-2025 00:00,48.01,94.3,,22.75,,24.13
AHEMEDABAD,17-02-2025 00:00,18-02-2025 00:00,39.48,75.75,,19.91,,26.31
AHEMEDABAD,18-02-2025 00:00,19-02-2025 00:00,,,,15.38,,28.27
AHEMEDABAD,19-02-2025 00:00,20-02-2025 00:00,,,,20.94,0.45,36.08
AHEMEDABAD,20-02-2025 00:00,21-02-2025 00:00,,,,28.77,0.27,28.46
AHEMEDABAD,21-02-2025 00:00,22-02-2025 00:00,,,,29.94,0.24,33.7
AHEMEDABAD,22-02-2025 00:00,23-02-2025 00:00,,,,18.51,0.2,36.39
AHEMEDABAD,23-02-2025 00:00,24-02-2025 00:00,,,,23.77,0.1,39.29
AHEMEDABAD,24-02-2025 00:00,25-02-2025 00:00,,,,19.21,0.32,35.61
AHEMEDABAD,25-02-2025 00:00,26-02-2025 00:00,,,,15.7,0.46,41.83
AHEMEDABAD,26-02-2025 00:00,27-02-2025 00:00,,,,24.13,0.56,43.47
AHEMEDABAD,27-02-2025 00:00,28-02-2025 00:00,,,,31.44,0.48,46.43
AHEMEDABAD,28-02-2025 00:00,01-03-2025 00:00,,,,29.11,0.24,29.03
AHEMEDABAD,01-03-2025 00:00,02-03-2025 00:00,,,,24.97,0.01,26.57
AHEMEDABAD,02-03-2025 00:00,03-03-2025 00:00,,,,13.71,0.02,35.85
AHEMEDABAD,03-03-2025 00:00,04-03-2025 00:00,,,,17.38,0.23,37.79
AHEMEDABAD,04-03-2025 00:00,05-03-2025 00:00,,,,8.94,0.34,46.25
AHEMEDABAD,05-03-2025 00:00,06-03-2025 00:00,,,,19.02,0.35,50.22
AHEMEDABAD,06-03-2025 00:00,07-03-2025 00:00,,,,17.2,0.61,49.32
AHEMEDABAD,07-03-2025 00:00,08-03-2025 00:00,,,,16.72,0.52,39.12
AHEMEDABAD,08-03-2025 00:00,09-03-2025 00:00,,,,38.9,0.4,39.08
AHEMEDABAD,09-03-2025 00:00,10-03-2025 00:00,,,,34.77,0.38,54.05
AHEMEDABAD,10-03-2025 00:00,11-03-2025 00:00,,,,19.33,0.36,48.27
AHEMEDABAD,11-03-2025 00:00,12-03-2025 00:00,,,,26.77,0.13,59.73
AHEMEDABAD,12-03-2025 00:00,13-03-2025 00:00,,,,22.78,0.2,45.32
AHEMEDABAD,13-03-2025 00:00,14-03-2025 00:00,,,,30.87,0.16,43.73
AHEMEDABAD,14-03-2025 00:00,15-03-2025 00:00,,,,30.67,0.31,45.5
AHEMEDABAD,15-03-2025 00:00,16-03-2025 00:00,,,,22.79,0.39,42.96
AHEMEDABAD,16-03-2025 00:00,17-03-2025 00:00,,,,20.32,0.32,49.17
AHEMEDABAD,17-03-2025 00:00,18-03-2025 00:00,,,,18.14,0.24,55.69
AHEMEDABAD,18-03-2025 00:00,19-03-2025 00:00,,,,20.34,0.17,57.59
AHEMEDABAD,19-03-2025 00:00,20-03-2025 00:00,,,,19.38,0.21,57.01
AHEMEDABAD,20-03-2025 00:00,21-03-2025 00:00,,,,13.06,0.45,43.06
AHEMEDABAD,21-03-2025 00:00,22-03-2025 00:00,,,,18.96,0.49,47.4
AHEMEDABAD,22-03-2025 00:00,23-03-2025 00:00,,,,31.27,0.45,63.7
